Longitude,Latitude,Start Year
15.004,37.734,2001
160.595,55.972,2001
-61.64,12.3,2001
-78.598,-0.171,2001
-5.22,-32.958,2001
159.443,54.049,2001
-90.601,14.381,2001
158.836,53.256,2001
-26.374,-58.445,2001
-174.365,-18.325,2001
100.679,-0.978,2001
141.289,24.751,2001
-26.483,-57.8,2001
151.33,-5.05,2001
160.595,55.972,2001
105.423,-6.102,2001
15.004,37.734,2001
145.037,-4.08,2001
55.708,-21.244,2001
168.346,-16.507,2001
127.63,1.488,2001
101.264,-1.697,2001
-87.004,12.702,2001
72.6,-53.03,2001
145.03,20.42,2001
-86.161,11.984,2001
100.473,-0.381,2001
55.708,-21.244,2001
177.18,-37.52,2001
29.2,-1.408,2001
-169.944,52.825,2001
-86.845,12.602,2001
151.33,-5.05,2001
120.98,-8.73,2001
139.526,34.094,2001
123.685,13.257,2001
96.329,4.914,2000
129.714,29.638,2000
112.95,-7.942,2000
165.8,-10.38,2000
130.308,30.789,2000
151.33,-5.05,2000
140.677,42.063,2000
102.62,-3.52,2000
-90.601,14.381,2000
-26.483,-57.8,2000
160.642,56.056,2000
-67.73,-23.37,2000
160.595,55.972,2000
123.685,13.257,2000
114.056,-8.119,2000
-71.183,-37.856,2000
158.196,52.449,2000
139.526,34.094,2000
55.708,-21.244,2000
145.037,-4.08,2000
105.423,-6.102,2000
9.17,4.203,2000
124.737,1.112,2000
124.792,1.358,2000
-71.85,-15.78,2000
140.839,42.544,2000
-77.37,1.22,2000
158.196,52.449,2000
160.595,55.972,2000
100.473,-0.381,2000
73.513,-53.106,2000
177.18,-37.52,2000
155.196,-6.137,2000
-19.666,63.983,2000
129.714,29.638,2000
55.708,-21.244,2000
160.642,56.056,2000
29.2,-1.408,2000
130.308,30.789,2000
-85.622,11.538,1999
-86.161,11.984,1999
157.95,-9.02,1999
151.33,-5.05,1999
148.838,45.389,1999
-78.442,-1.467,1999
141.289,24.751,1999
161.36,56.653,1999
-86.702,12.506,1999
114.056,-8.119,1999
55.708,-21.244,1999
114.242,-8.058,1999
123.685,13.257,1999
129.714,29.638,1999
-177.188,-25.887,1999
123.57,-8.53,1999
-90.88,14.473,1999
-86.845,12.602,1999
165.8,-10.38,1999
-144.017,62.006,1999
109.208,-7.242,1999
-87.004,12.702,1999
100.473,-0.381,1999
85.25,85.608,1999
161.36,56.653,1999
122.775,-8.542,1999
9.17,4.203,1999
101.264,-1.697,1999
125.4,2.78,1999
115.375,-8.242,1999
-163.97,54.756,1999
96.329,4.914,1999
160.595,55.972,1999
157.95,-9.02,1999
105.423,-6.102,1999
160.642,56.056,1999
168.37,-16.68,1999
-175.53,-20.85,1999
129.714,29.638,1999
127.63,1.488,1998
-17.316,64.416,1998
-27.32,38.73,1998
-70.568,-35.223,1998
-71.729,-38.692,1998
144.013,43.384,1998
-163.97,54.756,1998
101.264,-1.697,1998
140.677,42.063,1998
29.2,-1.408,1998
-91.408,-0.92,1998
-86.161,11.984,1998
177.18,-37.52,1998
-156.99,57.135,1998
-78.598,-0.171,1998
160.642,56.056,1998
168.346,-16.507,1998
125.4,2.78,1998
101.264,-1.697,1998
115.375,-8.242,1998
160.595,55.972,1998
161.36,56.653,1998
-174.166,52.381,1998
130.308,30.789,1998
96.329,4.914,1998
-71.729,-38.692,1998
138.036,36.921,1998
177.18,-37.52,1998
55.708,-21.244,1998
-71.93,-39.42,1998
-85.324,10.83,1998
-130,45.95,1998
-88.269,13.434,1997
-177.188,-25.887,1997
160.595,55.972,1997
-103.62,19.514,1997
138.036,36.921,1997
175.57,-39.28,1997
160.642,56.056,1997
140.757,39.964,1997
-61.305,15.307,1997
130.308,30.789,1997
119.07,-8.2,1997
-86.161,11.984,1997
-163.97,54.756,1997
-87.004,12.702,1997
-26.483,-57.8,1997
140.757,39.964,1997
160.595,55.972,1997
-169.944,52.825,1997
-177.188,-25.887,1997
114.056,-8.119,1997
105.423,-6.102,1997
-78.598,-0.171,1997
-71.729,-38.692,1997
161.36,56.653,1997
-171.252,52.5,1997
-168.13,53.43,1997
157.95,-9.02,1997
109.92,-7.2,1996
129.714,29.638,1996
72.6,-53.03,1996
-86.161,11.984,1996
155.565,50.861,1996
29.2,-1.408,1996
144.013,43.384,1996
160.642,56.056,1996
-67.73,-23.37,1996
-26.483,-57.8,1996
125.4,2.78,1996
-17.316,64.416,1996
-177.188,-25.887,1996
-171.252,52.5,1996
-71.93,-39.42,1996
-161.894,55.417,1996
140.281,37.647,1996
101.264,-1.697,1996
123.132,10.412,1996
160.595,55.972,1996
105.423,-6.102,1996
127.33,0.8,1996
145.8,18.13,1996
-86.15,0.792,1996
175.57,-39.28,1996
168.12,-16.25,1996
-84.233,10.2,1996
-98.622,19.023,1996
140.677,42.063,1996
-126.78,42.67,1996
-155.27,18.92,1996
170.28,-20.98,1996
130.299,32.761,1996
-71.93,-39.42,1996
159.443,54.049,1996
159.45,53.98,1996
-163.97,54.756,1995
77.825,-37.721,1995
152.203,-4.271,1995
-177.188,-25.887,1995
-159.38,56.17,1995
125.4,2.78,1995
-85.324,10.83,1995
-71.729,-38.692,1995
145.57,15.62,1995
131.249,33.086,1995
